User ID;Purchase;Homepage;Categories;ProductPage;Onsales;Search;Basket;Others;Sum
U00000268;0;7;6;37;0;1;2;1;54
U00000323;1;4;1;5;2;0;1;0;13
U00000386;1;5;4;10;3;0;1;0;23
U00000535;0;7;2;39;3;12;8;2;73
U00000536;1;3;3;8;1;1;1;0;17
U00000625;0;4;1;6;3;0;1;0;15
U00000645;0;8;7;19;1;0;3;0;38
U00000721;1;8;2;16;4;1;0;0;31
U00000782;0;6;5;14;0;2;1;0;28
U00000805;1;8;4;40;3;1;2;0;58
U00000854;0;4;0;5;2;1;0;1;13
U00000886;0;9;1;25;1;9;4;1;50
U00000956;0;7;5;11;4;0;1;1;29
U00001275;0;4;3;5;1;1;0;0;14
U00001305;1;5;8;14;2;1;2;0;32
U00001317;1;4;2;7;2;0;0;0;15
U00001543;1;8;2;31;2;10;7;1;61
U00001569;1;4;5;9;1;1;1;0;21
U00001598;0;5;3;9;1;0;0;0;18
U00001790;0;7;2;28;2;9;6;2;56
U00001923;0;11;3;38;1;14;7;1;75
U00002067;1;7;1;35;1;12;6;1;63
U00002085;0;3;2;6;3;1;1;0;16
U00002154;1;4;3;7;1;0;1;1;17
U00002194;1;5;2;11;5;0;2;0;25
U00002399;0;10;3;11;4;0;1;1;30
U00002877;1;10;2;37;0;12;7;2;70
U00002929;0;8;10;18;1;1;3;1;42
U00002994;1;5;4;11;1;1;2;0;24
U00003074;1;5;4;9;1;1;1;0;21
U00003110;0;3;1;7;2;0;1;1;15
U00003210;0;4;0;6;3;0;0;1;14
U00003317;1;6;2;8;4;0;1;0;21
U00003335;0;6;0;25;1;7;4;1;44
U00003400;0;4;5;10;1;1;1;1;23
U00003501;0;5;3;6;3;0;1;0;18
U00003524;1;5;2;33;1;11;7;2;61
U00004000;0;7;5;11;1;1;1;1;27
U00004119;1;7;4;17;1;1;3;0;33
U00004172;0;4;4;9;1;1;1;0;20
U00004264;1;15;8;81;4;2;6;0;116
U00004613;1;5;2;21;1;7;4;1;41
U00004648;1;3;2;6;0;1;0;0;12
U00004773;0;3;4;7;1;1;1;0;17
U00004950;0;8;8;16;1;1;3;0;37
U00004954;1;3;1;4;2;0;0;1;11
U00004990;0;4;3;9;5;0;0;1;22
U00005066;1;5;5;15;1;1;2;0;29
U00005137;0;11;0;39;1;12;6;1;70
U00005278;1;9;2;29;0;9;6;0;55
U00005524;0;4;2;5;1;0;1;0;13
U00005551;1;6;1;20;1;7;3;0;38
U00005673;0;5;5;14;1;2;2;0;29
U00005743;1;15;6;54;0;1;3;1;80
U00005788;0;6;0;27;1;8;5;1;48
U00005809;0;6;1;30;0;9;5;1;52
U00005819;1;3;1;5;3;1;0;0;13
U00006051;1;5;0;16;0;5;4;1;31
U00006314;0;4;1;6;2;0;0;0;13
U00006470;1;8;5;32;0;0;2;0;47
U00006550;1;11;8;56;3;2;5;1;86
U00006663;1;7;7;17;2;1;3;1;38
U00006669;1;10;7;46;0;2;3;0;68
U00006704;0;11;9;20;3;2;3;1;49
U00006752;1;6;5;11;0;1;2;0;25
U00006761;1;3;5;10;1;0;2;1;22
U00007088;1;5;4;10;1;0;2;0;22
U00007239;1;4;5;10;1;1;1;1;23
U00007244;0;5;5;11;1;1;2;1;26
U00007248;0;6;5;12;1;1;2;1;28
U00007295;1;4;2;18;0;7;3;0;34
U00007545;1;3;2;6;3;0;0;1;15
U00007593;1;4;1;8;3;1;0;1;18
U00007727;0;8;8;17;2;1;3;1;40
U00007832;1;7;2;33;2;11;6;1;62
U00008077;1;9;0;30;1;8;6;0;54
U00008155;0;6;2;7;2;1;1;1;20
U00008168;0;4;2;5;3;0;0;0;14
U00008260;0;5;5;10;1;2;2;0;25
U00008483;1;5;0;26;1;9;6;1;48
U00008581;0;24;13;92;5;6;6;1;147
U00008594;0;6;1;20;1;6;4;0;38
U00008728;0;7;6;12;1;1;3;0;30
U00008881;0;11;5;12;6;0;1;0;35
U00009017;0;6;4;16;1;1;1;1;30
U00009167;1;11;10;61;2;2;3;0;89
U00009270;0;8;0;31;0;11;6;3;59
U00009404;1;5;0;15;0;5;3;0;28
U00009782;1;5;3;9;2;0;0;0;19
U00009783;1;5;2;20;1;6;4;1;39
U00010150;0;7;6;15;5;1;0;0;34
U00010238;1;6;4;12;1;2;3;0;28
U00010271;1;4;1;5;2;0;0;0;12
U00010330;1;5;1;20;1;6;4;1;38
U00010334;0;5;2;10;3;0;0;0;20
U00010365;0;8;8;18;2;2;4;0;42
U00010431;1;9;9;17;2;2;2;1;42
U00010497;1;3;4;6;0;1;1;0;15
U00010562;0;7;3;37;0;1;3;1;52
U00010729;1;6;2;26;0;8;5;1;48
U00011042;0;4;3;9;1;1;1;0;19
U00011063;1;5;0;21;0;6;4;1;37
U00011130;1;6;1;19;1;6;3;1;37
U00011207;0;5;0;16;0;5;4;1;31
U00011280;1;4;4;10;1;1;2;0;22
U00011406;1;5;5;15;2;1;2;1;31
U00011447;0;9;2;29;1;9;5;1;56
U00011491;0;5;3;9;4;1;1;0;23
U00011671;0;17;5;63;1;19;12;2;119
U00011677;0;5;2;6;2;1;1;1;18
U00011777;1;4;3;9;1;1;1;0;19
U00011823;1;8;7;19;1;2;3;1;41
U00011832;1;4;2;23;1;8;4;1;43
U00011939;0;4;4;8;1;1;1;1;20
U00012155;1;5;8;16;2;2;2;1;36
U00012272;0;4;2;4;2;0;1;0;13
