用户ID;消费金额;首页;商品分类;商品介绍;特卖页面;搜索功能;购物车;其他;合计
U00000268;1670;7;6;37;0;1;2;1;54
U00000323;6870;4;1;5;2;0;1;0;13
U00000386;2940;5;4;10;3;0;1;0;23
U00000535;1390;7;2;39;3;12;8;2;73
U00000536;27500;3;3;8;1;1;1;0;17
U00000625;920;4;1;6;3;0;1;0;15
U00000645;940;8;7;19;1;0;3;0;38
U00000721;2150;8;2;16;4;1;0;0;31
U00000782;1230;6;5;14;0;2;1;0;28
U00000805;14870;8;4;40;3;1;2;0;58
U00000854;1370;4;0;5;2;1;0;1;13
U00000886;1650;9;1;25;1;9;4;1;50
U00000956;1010;7;5;11;4;0;1;1;29
U00001275;1760;4;3;5;1;1;0;0;14
U00001305;3260;5;8;14;2;1;2;0;32
U00001317;3250;4;2;7;2;0;0;0;15
U00001543;2520;8;2;31;2;10;7;1;61
U00001569;4430;4;5;9;1;1;1;0;21
U00001598;1240;5;3;9;1;0;0;0;18
U00001790;1450;7;2;28;2;9;6;2;56
U00001923;1580;11;3;38;1;14;7;1;75
U00002067;3890;7;1;35;1;12;6;1;63
U00002085;1220;3;2;6;3;1;1;0;16
U00002154;6610;4;3;7;1;0;1;1;17
U00002194;2460;5;2;11;5;0;2;0;25
U00002399;1400;10;3;11;4;0;1;1;30
U00002877;58770;10;2;37;0;12;7;2;70
U00002929;1670;8;10;18;1;1;3;1;42
U00002994;25180;5;4;11;1;1;2;0;24
U00003074;8650;5;4;9;1;1;1;0;21
U00003110;1840;3;1;7;2;0;1;1;15
U00003210;1190;4;0;6;3;0;0;1;14
U00003317;4950;6;2;8;4;0;1;0;21
U00003335;1090;6;0;25;1;7;4;1;44
U00003400;1190;4;5;10;1;1;1;1;23
U00003501;1290;5;3;6;3;0;1;0;18
U00003524;11450;5;2;33;1;11;7;2;61
U00004000;1040;7;5;11;1;1;1;1;27
U00004119;2580;7;4;17;1;1;3;0;33
U00004172;1360;4;4;9;1;1;1;0;20
U00004264;6770;15;8;81;4;2;6;0;116
U00004613;2110;5;2;21;1;7;4;1;41
U00004648;2300;3;2;6;0;1;0;0;12
U00004773;1250;3;4;7;1;1;1;0;17
U00004950;1300;8;8;16;1;1;3;0;37
U00004954;4520;3;1;4;2;0;0;1;11
U00004990;1450;4;3;9;5;0;0;1;22
U00005066;8930;5;5;15;1;1;2;0;29
U00005137;1700;11;0;39;1;12;6;1;70
U00005278;2530;9;2;29;0;9;6;0;55
U00005524;1040;4;2;5;1;0;1;0;13
U00005551;6330;6;1;20;1;7;3;0;38
U00005673;1200;5;5;14;1;2;2;0;29
U00005743;3150;15;6;54;0;1;3;1;80
U00005788;1200;6;0;27;1;8;5;1;48
U00005809;1060;6;1;30;0;9;5;1;52
U00005819;2320;3;1;5;3;1;0;0;13
U00006051;2260;5;0;16;0;5;4;1;31
U00006314;1700;4;1;6;2;0;0;0;13
U00006470;3700;8;5;32;0;0;2;0;47
U00006550;35630;11;8;56;3;2;5;1;86
U00006663;3900;7;7;17;2;1;3;1;38
U00006669;2150;10;7;46;0;2;3;0;68
U00006704;1470;11;9;20;3;2;3;1;49
U00006752;11440;6;5;11;0;1;2;0;25
U00006761;7260;3;5;10;1;0;2;1;22
U00007088;16910;5;4;10;1;0;2;0;22
